id_agent,annee,duree,id_formation
74.0,2026,30,907
76.0,2026,30,908
77.0,2026,30,909
82.0,2026,30,915
83.0,2026,30,916
85.0,2026,30,917
86.0,2026,30,918
93.0,2026,30,924
89.0,2026,30,925
6.0,2027,2027,933
,2027,Durée,934
10.0,2027,30,936
12.0,2027,30,937
15.0,2027,30,938
19.0,2027,30,939
21.0,2027,30,945
23.0,2027,30,946
32.0,2027,30,952
33.0,2027,30,953
34.0,2027,30,954
36.0,2027,30,955
38.0,2027,30,956
39.0,2027,30,957
50.0,2027,30,972
51.0,2027,30,973
53.0,2027,30,974
55.0,2027,30,975
58.0,2027,30,981
59.0,2027,30,982
61.0,2027,30,983
63.0,2027,30,984
64.0,2027,30,985
65.0,2027,30,986
67.0,2027,30,987
70.0,2027,30,988
74.0,2027,30,989
76.0,2027,30,990
77.0,2027,30,991
82.0,2027,30,997
83.0,2027,30,998
85.0,2027,30,999
93.0,2027,30,1005
89.0,2027,30,1006
6.0,2028,2028,1013
,2028,Durée,1014
63.0,2028,30,1041
64.0,2028,30,1042
67.0,2028,30,1043
89.0,2028,30,1054
6.0,2029,2029,1061
,2029,Durée,1062
89.0,2029,30,1099
